"","subject","vocoded","timebins","aggbaseline","Condition"
"295","Eye_17","NS",2300,53.54604971215,"NS"
"296","Eye_17","NS",2400,62.3631815648911,"NS"
"297","Eye_17","NS",2500,67.3142452903813,"NS"
"298","Eye_17","V6",-100,-4.25586673497218,"V6"
"299","Eye_17","V6",0,11.0654150760397,"V6"
"300","Eye_17","V6",100,17.0686618058052,"V6"
"301","Eye_17","V6",200,18.4534775277408,"V6"
"302","Eye_17","V6",300,23.9527637418154,"V6"
"303","Eye_17","V6",400,27.4844695082715,"V6"
"304","Eye_17","V6",500,38.4680120836942,"V6"
"305","Eye_17","V6",600,75.6633378465436,"V6"
"306","Eye_17","V6",700,98.9159855530969,"V6"
"307","Eye_17","V6",800,103.06061254091,"V6"
"308","Eye_17","V6",900,94.0020002026277,"V6"
"309","Eye_17","V6",1000,79.39571430976,"V6"
"310","Eye_17","V6",1100,58.3201529660313,"V6"
"311","Eye_17","V6",1200,50.149886410367,"V6"
"312","Eye_17","V6",1300,40.5557333837562,"V6"
"313","Eye_17","V6",1400,33.1657919060067,"V6"
"314","Eye_17","V6",1500,24.4426857817399,"V6"
"315","Eye_17","V6",1600,16.6715431669759,"V6"
"316","Eye_17","V6",1700,17.5465217169835,"V6"
"317","Eye_17","V6",1800,20.7183168663361,"V6"
"318","Eye_17","V6",1900,20.5551798513066,"V6"
"319","Eye_17","V6",2000,23.1330890710439,"V6"
"320","Eye_17","V6",2100,24.3865470133606,"V6"
"321","Eye_17","V6",2200,26.1712084047989,"V6"
"322","Eye_17","V6",2300,29.5476617818487,"V6"
"323","Eye_17","V6",2400,30.3685711340299,"V6"
"324","Eye_17","V6",2500,28.8853024885164,"V6"
"325","Eye_20","NS",-100,4.56395561101083,"NS"
"326","Eye_20","NS",0,20.494475234167,"NS"
"327","Eye_20","NS",100,40.0780754252636,"NS"
"328","Eye_20","NS",200,54.8927419101439,"NS"
"329","Eye_20","NS",300,65.5530249427134,"NS"
"330","Eye_20","NS",400,80.3706455362198,"NS"
"331","Eye_20","NS",500,84.073870838534,"NS"
"332","Eye_20","NS",600,66.2427301706251,"NS"
"333","Eye_20","NS",700,43.6783600766572,"NS"
"334","Eye_20","NS",800,40.920452919616,"NS"
"335","Eye_20","NS",900,47.8778201865327,"NS"
"336","Eye_20","NS",1000,54.5408062933293,"NS"
"337","Eye_20","NS",1100,59.4784640292636,"NS"
"338","Eye_20","NS",1200,80.1947533983376,"NS"
"339","Eye_20","NS",1300,100.540146416452,"NS"
"340","Eye_20","NS",1400,107.539665523816,"NS"
"341","Eye_20","NS",1500,112.425036821094,"NS"
"342","Eye_20","NS",1600,98.2191752753157,"NS"
"343","Eye_20","NS",1700,78.9835632166198,"NS"
"344","Eye_20","NS",1800,64.0895935953106,"NS"
"345","Eye_20","NS",1900,50.2337755526725,"NS"
"346","Eye_20","NS",2000,44.5411799675655,"NS"
"347","Eye_20","NS",2100,46.8020967070578,"NS"
"348","Eye_20","NS",2200,56.4200324322856,"NS"
"349","Eye_20","NS",2300,68.6220391725189,"NS"
"350","Eye_20","NS",2400,79.1551211006069,"NS"
"351","Eye_20","NS",2500,84.0204874027928,"NS"
"352","Eye_20","V6",-100,-3.60900624418661,"V6"
"353","Eye_20","V6",0,-9.40032288895399,"V6"
"354","Eye_20","V6",100,-14.823316109467,"V6"
"355","Eye_20","V6",200,-7.85920633682441,"V6"
"356","Eye_20","V6",300,10.6121217570184,"V6"
"357","Eye_20","V6",400,30.6729235163759,"V6"
"358","Eye_20","V6",500,58.2418799967819,"V6"
"359","Eye_20","V6",600,68.0783778888038,"V6"
"360","Eye_20","V6",700,66.3333406290633,"V6"
"361","Eye_20","V6",800,56.2315990988135,"V6"
"362","Eye_20","V6",900,47.6295052627213,"V6"
"363","Eye_20","V6",1000,38.4613205471215,"V6"
"364","Eye_20","V6",1100,48.9897882216776,"V6"
"365","Eye_20","V6",1200,59.8021045653724,"V6"
"366","Eye_20","V6",1300,71.602641222622,"V6"
"367","Eye_20","V6",1400,90.3245309421847,"V6"
"368","Eye_20","V6",1500,104.116447896961,"V6"
"369","Eye_20","V6",1600,107.822118351551,"V6"
"370","Eye_20","V6",1700,103.77294341237,"V6"
"371","Eye_20","V6",1800,88.9417300621654,"V6"
"372","Eye_20","V6",1900,71.3599978582999,"V6"
