"","subject","script","timebins","aggbaseline"
"206","13a.edf","print",2300,-87.8880269821909
"207","13a.edf","print",2400,-82.4487548741119
"208","13a.edf","print",2500,-82.6085045027864
"209","14b.edf","cursive",0,16.2945964731097
"210","14b.edf","cursive",100,24.0169175031983
"211","14b.edf","cursive",200,32.6667214188491
"212","14b.edf","cursive",300,27.0331229545495
"213","14b.edf","cursive",400,15.9459717222653
"214","14b.edf","cursive",500,1.53924853801168
"215","14b.edf","cursive",600,-8.00754694835682
"216","14b.edf","cursive",700,-11.8158519764623
"217","14b.edf","cursive",800,-9.75783561802883
"218","14b.edf","cursive",900,-2.74020712397494
"219","14b.edf","cursive",1000,8.3082410997862
"220","14b.edf","cursive",1100,17.9893237003695
"221","14b.edf","cursive",1200,26.8078260817414
"222","14b.edf","cursive",1300,31.7604593414929
"223","14b.edf","cursive",1400,33.622799987295
"224","14b.edf","cursive",1500,34.9831962819138
"225","14b.edf","cursive",1600,35.318787454962
"226","14b.edf","cursive",1700,32.4287572473829
"227","14b.edf","cursive",1800,32.3663506353187
"228","14b.edf","cursive",1900,36.1860636726416
"229","14b.edf","cursive",2000,38.9432138290011
"230","14b.edf","cursive",2100,41.0033922018549
"231","14b.edf","cursive",2200,42.0702481441894
"232","14b.edf","cursive",2300,44.9003020757814
"233","14b.edf","cursive",2400,48.3912301824345
"234","14b.edf","cursive",2500,47.9926263489952
"235","14b.edf","print",0,48.7827458156478
"236","14b.edf","print",100,51.2795227777099
"237","14b.edf","print",200,48.9428967435801
"238","14b.edf","print",300,38.2018950828816
"239","14b.edf","print",400,22.2305722258451
"240","14b.edf","print",500,4.55181459118396
"241","14b.edf","print",600,-6.94350543782057
"242","14b.edf","print",700,-8.78594268912024
"243","14b.edf","print",800,-5.62008137183591
"244","14b.edf","print",900,0.250848648298838
"245","14b.edf","print",1000,6.17481050935454
"246","14b.edf","print",1100,13.259976045733
"247","14b.edf","print",1200,21.0328859290731
"248","14b.edf","print",1300,29.2726884307205
"249","14b.edf","print",1400,35.955253222952
"250","14b.edf","print",1500,36.0446682246518
"251","14b.edf","print",1600,35.5148210323808
"252","14b.edf","print",1700,36.2930882581231
"253","14b.edf","print",1800,35.616345385178
"254","14b.edf","print",1900,37.2057118937528
"255","14b.edf","print",2000,41.5409688243827
"256","14b.edf","print",2100,36.9017620567571
"257","14b.edf","print",2200,30.029570318963
"258","14b.edf","print",2300,35.1989562056134
"259","14b.edf","print",2400,39.8082622136449
"260","14b.edf","print",2500,41.2377414548148
"261","15c.edf","cursive",0,96.5850539828347
"262","15c.edf","cursive",100,92.4112201535451
"263","15c.edf","cursive",200,84.8683775389435
"264","15c.edf","cursive",300,71.1157791930595
"265","15c.edf","cursive",400,53.0404239109285
"266","15c.edf","cursive",500,17.9038492361633
"267","15c.edf","cursive",600,-20.3658026546456
"268","15c.edf","cursive",700,-32.7838871473354
"269","15c.edf","cursive",800,-21.4334169278997
"270","15c.edf","cursive",900,1.38380187466261
"271","15c.edf","cursive",1000,31.4838103285467
"272","15c.edf","cursive",1100,76.2130523050898
"273","15c.edf","cursive",1200,123.609118591446
"274","15c.edf","cursive",1300,169.410843574689
"275","15c.edf","cursive",1400,209.992447382516
"276","15c.edf","cursive",1500,239.931936416285
"277","15c.edf","cursive",1600,253.072293122594
"278","15c.edf","cursive",1700,263.308512401406
"279","15c.edf","cursive",1800,279.500758883775
"280","15c.edf","cursive",1900,293.696420090441
"281","15c.edf","cursive",2000,312.682089549512
"282","15c.edf","cursive",2100,323.25659656701
"283","15c.edf","cursive",2200,342.023167927093
"284","15c.edf","cursive",2300,353.051112657225
"285","15c.edf","cursive",2400,358.25677198458
"286","15c.edf","cursive",2500,359.458437685279
"287","15c.edf","print",0,91.6866383266647
"288","15c.edf","print",100,71.7793532936788
"289","15c.edf","print",200,59.3481132695169
"290","15c.edf","print",300,50.4838148110443
"291","15c.edf","print",400,38.0928935285872
"292","15c.edf","print",500,13.2184801371687
"293","15c.edf","print",600,-12.0005153484637
"294","15c.edf","print",700,-21.7753001533109
"295","15c.edf","print",800,-14.9695620633105
"296","15c.edf","print",900,6.31975277488883
"297","15c.edf","print",1000,38.6637814033395
"298","15c.edf","print",1100,76.1001113367994
"299","15c.edf","print",1200,110.670617832667
"300","15c.edf","print",1300,145.107247475495
"301","15c.edf","print",1400,181.186365062905
"302","15c.edf","print",1500,215.110235350497
"303","15c.edf","print",1600,227.451625073109
"304","15c.edf","print",1700,215.349488208905
"305","15c.edf","print",1800,205.907384998225
"306","15c.edf","print",1900,207.24195282311
"307","15c.edf","print",2000,217.953560762099
"308","15c.edf","print",2100,222.529583379941
"309","15c.edf","print",2200,210.273588055209
"310","15c.edf","print",2300,197.397351902987
"311","15c.edf","print",2400,184.850958385832
"312","15c.edf","print",2500,178.419608939039
"313","16d.edf","cursive",0,40.6111688866044
"314","16d.edf","cursive",100,37.7344191061205
"315","16d.edf","cursive",200,34.7473521853866
"316","16d.edf","cursive",300,38.3920304521236
"317","16d.edf","cursive",400,34.9155498237214
"318","16d.edf","cursive",500,14.3157481477618
"319","16d.edf","cursive",600,-15.6764076705968
"320","16d.edf","cursive",700,-42.2565791249185
"321","16d.edf","cursive",800,-54.1350905132089
"322","16d.edf","cursive",900,-55.6103874791119
"323","16d.edf","cursive",1000,-52.0079084145455
"324","16d.edf","cursive",1100,-50.8661200315516
"325","16d.edf","cursive",1200,-51.505718647256
"326","16d.edf","cursive",1300,-47.6045315763255
"327","16d.edf","cursive",1400,-36.1568756220428
"328","16d.edf","cursive",1500,-19.6614454623026
"329","16d.edf","cursive",1600,-12.4601347519166
"330","16d.edf","cursive",1700,-7.7465995830191
"331","16d.edf","cursive",1800,3.5232824854426
"332","16d.edf","cursive",1900,17.8250902133038
"333","16d.edf","cursive",2000,28.3133041776525
"334","16d.edf","cursive",2100,32.4024534408336
"335","16d.edf","cursive",2200,35.3166014889457
"336","16d.edf","cursive",2300,36.6445107183755
"337","16d.edf","cursive",2400,40.4784588828036
"338","16d.edf","cursive",2500,45.2092954821761
"339","16d.edf","print",0,4.56560021939261
"340","16d.edf","print",100,12.1194490056465
"341","16d.edf","print",200,18.8500473184223
"342","16d.edf","print",300,27.8004776006524
"343","16d.edf","print",400,27.0104729003038
"344","16d.edf","print",500,13.4392457908784
"345","16d.edf","print",600,-10.9388462167649
"346","16d.edf","print",700,-32.494946908098
"347","16d.edf","print",800,-43.9047890373082
"348","16d.edf","print",900,-46.681463920934
"349","16d.edf","print",1000,-46.9777829396574
"350","16d.edf","print",1100,-46.9395584616365
"351","16d.edf","print",1200,-45.2822851189416
"352","16d.edf","print",1300,-36.5984845285404
"353","16d.edf","print",1400,-25.1689780583258
"354","16d.edf","print",1500,-14.5514437093157
"355","16d.edf","print",1600,-13.1699185173305
"356","16d.edf","print",1700,-15.6325908736718
"357","16d.edf","print",1800,-13.5872711737601
"358","16d.edf","print",1900,-17.8029876267332
"359","16d.edf","print",2000,-27.7472171462078
"360","16d.edf","print",2100,-36.420990644142
"361","16d.edf","print",2200,-34.466859207144
"362","16d.edf","print",2300,-30.7995934276726
"363","16d.edf","print",2400,-24.9683165600402
"364","16d.edf","print",2500,-22.5966206435728
"365","17a.edf","cursive",0,1.03200000000005
"366","17a.edf","cursive",100,1.94285714285719
"367","17a.edf","cursive",200,6.77024561403514
"368","17a.edf","cursive",300,14.1428986160123
"369","17a.edf","cursive",400,12.8577944862156
"370","17a.edf","cursive",500,5.95371428571434
"371","17a.edf","cursive",600,-6.85542857142853
"372","17a.edf","cursive",700,-11.0522857142857
"373","17a.edf","cursive",800,-5.55362407721753
"374","17a.edf","cursive",900,0.87927143073422
"375","17a.edf","cursive",1000,7.91122491177527
"376","17a.edf","cursive",1100,17.2275152269846
"377","17a.edf","cursive",1200,30.3448573254201
"378","17a.edf","cursive",1300,45.999446049096
"379","17a.edf","cursive",1400,57.5550147014489
"380","17a.edf","cursive",1500,66.9724848015686
"381","17a.edf","cursive",1600,64.9536132259193
"382","17a.edf","cursive",1700,57.5159532261641
"383","17a.edf","cursive",1800,47.8514147104715
"384","17a.edf","cursive",1900,39.4689924942269
"385","17a.edf","cursive",2000,34.1269666611593
"386","17a.edf","cursive",2100,25.8376480724019
"387","17a.edf","cursive",2200,15.9748373650531
"388","17a.edf","cursive",2300,15.1309520569402
"389","17a.edf","cursive",2400,18.5981717804767
"390","17a.edf","cursive",2500,19.8592626458721
"391","17a.edf","print",0,41.1259307448196
"392","17a.edf","print",100,33.163351057506
"393","17a.edf","print",200,29.7325693413108
"394","17a.edf","print",300,24.888643717728
"395","17a.edf","print",400,18.2788393633444
"396","17a.edf","print",500,8.84021318459895
"397","17a.edf","print",600,-9.94504223791721
"398","17a.edf","print",700,-16.4235601987891
"399","17a.edf","print",800,-7.13855144787519
"400","17a.edf","print",900,5.74580863406851
"401","17a.edf","print",1000,23.9429599469684
"402","17a.edf","print",1100,45.8533534512483
"403","17a.edf","print",1200,68.2274490511237
"404","17a.edf","print",1300,83.7260755769609
"405","17a.edf","print",1400,96.7602019935046
"406","17a.edf","print",1500,102.694483586508
"407","17a.edf","print",1600,102.28796074229
"408","17a.edf","print",1700,102.548726552835
"409","17a.edf","print",1800,100.410861830838
"410","17a.edf","print",1900,94.4533970944125
"411","17a.edf","print",2000,87.5886917822849
"412","17a.edf","print",2100,83.0716765826439
"413","17a.edf","print",2200,79.0601194462152
"414","17a.edf","print",2300,85.1870702719609
"415","17a.edf","print",2400,83.4780971540647
"416","17a.edf","print",2500,84.735447704439
"417","17a1.edf","cursive",0,65.0473548387097
"418","17a1.edf","cursive",100,41.0189677419354
"419","17a1.edf","cursive",200,22.4069090909091
"420","17a1.edf","cursive",300,12.3494559494559
"421","17a1.edf","cursive",400,3.99266862170086
"422","17a1.edf","cursive",500,3.19316129032256
"423","17a1.edf","cursive",600,-0.560129032258079
"424","17a1.edf","cursive",700,-7.42215655312431
"425","17a1.edf","cursive",800,-1.14773258587673
"426","17a1.edf","cursive",900,17.2626677298942
"427","17a1.edf","cursive",1000,41.3276317843454
"428","17a1.edf","cursive",1100,62.7457206313332
"429","17a1.edf","cursive",1200,86.9684331883164
"430","17a1.edf","cursive",1300,112.714522710676
"431","17a1.edf","cursive",1400,145.400635890873
"432","17a1.edf","cursive",1500,175.457384701678
"433","17a1.edf","cursive",1600,195.680165100733
"434","17a1.edf","cursive",1700,210.216420205462
"435","17a1.edf","cursive",1800,198.68955112427
"436","17a1.edf","cursive",1900,156.461927833268
"437","17a1.edf","cursive",2000,117.829586468039
"438","17a1.edf","cursive",2100,98.051790043569
"439","17a1.edf","cursive",2200,80.2800571681485
"440","17a1.edf","cursive",2300,54.2370380172322
"441","17a1.edf","cursive",2400,46.398377753802
"442","17a1.edf","cursive",2500,47.4565690411185
"443","17a1.edf","print",0,-30.2305142857143
"444","17a1.edf","print",100,-30.1425142857143
"445","17a1.edf","print",200,-29.8065142857143
"446","17a1.edf","print",300,-20.8526857142858
"447","17a1.edf","print",400,-13.1256000000001
"448","17a1.edf","print",500,-6.29108571428577
"449","17a1.edf","print",600,1.17146929310737
"450","17a1.edf","print",700,3.96643398289562
"451","17a1.edf","print",800,18.2099857918122
"452","17a1.edf","print",900,42.4167433410498
"453","17a1.edf","print",1000,68.6583226309585
"454","17a1.edf","print",1100,94.9881161062082
"455","17a1.edf","print",1200,119.461625525874
"456","17a1.edf","print",1300,147.596259152342
"457","17a1.edf","print",1400,182.286013145143
"458","17a1.edf","print",1500,195.699681142359
"459","17a1.edf","print",1600,173.013455358523
"460","17a1.edf","print",1700,121.138432679385
"461","17a1.edf","print",1800,65.7819454899986
"462","17a1.edf","print",1900,18.5713070971587
"463","17a1.edf","print",2000,-13.2265589840165
"464","17a1.edf","print",2100,-33.879452293443
"465","17a1.edf","print",2200,-45.6982561509694
"466","17a1.edf","print",2300,-46.3231538066928
"467","17a1.edf","print",2400,-42.4156831634537
"468","17a1.edf","print",2500,-41.7110909214185
"469","18b.edf","cursive",0,45.8345695962994
"470","18b.edf","cursive",100,31.6781737020387
"471","18b.edf","cursive",200,25.7394936641503
"472","18b.edf","cursive",300,28.121652641084
"473","18b.edf","cursive",400,28.1950397041428
"474","18b.edf","cursive",500,13.5274577873255
"475","18b.edf","cursive",600,-15.0382575585268
"476","18b.edf","cursive",700,-39.4469565902696
"477","18b.edf","cursive",800,-50.769929709597
"478","18b.edf","cursive",900,-49.0588626444813
"479","18b.edf","cursive",1000,-40.3717835813837
"480","18b.edf","cursive",1100,-29.2036826305614
"481","18b.edf","cursive",1200,-16.6180039637083
"482","18b.edf","cursive",1300,-0.934032663486359
"483","18b.edf","cursive",1400,19.1716748921309
"484","18b.edf","cursive",1500,35.6328828376022
"485","18b.edf","cursive",1600,50.58729366579
"486","18b.edf","cursive",1700,59.9923230729863
"487","18b.edf","cursive",1800,63.6864622778017
"488","18b.edf","cursive",1900,66.5562632588673
"489","18b.edf","cursive",2000,63.647052751039
"490","18b.edf","cursive",2100,66.5530657416359
"491","18b.edf","cursive",2200,82.2406984892572
"492","18b.edf","cursive",2300,85.3190962026586
"493","18b.edf","cursive",2400,74.321716793694
"494","18b.edf","cursive",2500,70.9791508806155
"495","18b.edf","print",0,28.8930465047342
"496","18b.edf","print",100,33.4317965047342
"497","18b.edf","print",200,32.2519169201838
"498","18b.edf","print",300,31.8714910829135
"499","18b.edf","print",400,29.5857816877329
"500","18b.edf","print",500,12.1400697278842
"501","18b.edf","print",600,-14.5453863372541
"502","18b.edf","print",700,-32.7604710632442
"503","18b.edf","print",800,-31.9371412736044
"504","18b.edf","print",900,-22.33016467071
"505","18b.edf","print",1000,-12.4034561506314
"506","18b.edf","print",1100,-0.579659854832042
"507","18b.edf","print",1200,10.9337597322997
"508","18b.edf","print",1300,28.4109809686562
"509","18b.edf","print",1400,49.9888977500073
"510","18b.edf","print",1500,73.2821354737432
"511","18b.edf","print",1600,83.7270825731967
"512","18b.edf","print",1700,90.2346879512752
"513","18b.edf","print",1800,95.503530146429
"514","18b.edf","print",1900,89.711305839709
"515","18b.edf","print",2000,73.4959682962543
"516","18b.edf","print",2100,56.9885611547728
"517","18b.edf","print",2200,50.0836892054982
"518","18b.edf","print",2300,40.7912636557254
"519","18b.edf","print",2400,30.4635377308211
"520","18b.edf","print",2500,28.3552694333947
"521","19c.edf","cursive",0,50.6770323683368
"522","19c.edf","cursive",100,47.6173048128343
"523","19c.edf","cursive",200,47.641411764706
"524","19c.edf","cursive",300,46.3169411764707
"525","19c.edf","cursive",400,28.2691764705883
"526","19c.edf","cursive",500,5.2670588235295
"527","19c.edf","cursive",600,-11.7978823529411
"528","19c.edf","cursive",700,-9.54423529411756
"529","19c.edf","cursive",800,15.7677647058825
"530","19c.edf","cursive",900,52.6828235294119
"531","19c.edf","cursive",1000,88.8983529411766
"532","19c.edf","cursive",1100,118.064668886423
"533","19c.edf","cursive",1200,138.466692179898
"534","19c.edf","cursive",1300,151.316760318429
"535","19c.edf","cursive",1400,159.169919661973
"536","19c.edf","cursive",1500,156.747076487767
"537","19c.edf","cursive",1600,150.774575360604
"538","19c.edf","cursive",1700,148.078305242092
"539","19c.edf","cursive",1800,145.351959347779
"540","19c.edf","cursive",1900,135.014734530777
"541","19c.edf","cursive",2000,112.544085528442
"542","19c.edf","cursive",2100,84.1509352061946
"543","19c.edf","cursive",2200,43.4441696710278
"544","19c.edf","cursive",2300,6.34297422765898
"545","19c.edf","cursive",2400,-32.438741987498
"546","19c.edf","cursive",2500,-47.2614219998848
"547","19c.edf","print",0,53.5035
"548","19c.edf","print",100,37.9503759398496
"549","19c.edf","print",200,30.18225
"550","19c.edf","print",300,26.69
"551","19c.edf","print",400,8.58375
"552","19c.edf","print",500,-4.72
"553","19c.edf","print",600,-3.96825
"554","19c.edf","print",700,13.75225
"555","19c.edf","print",800,50.13625
"556","19c.edf","print",900,91.9633737623762
"557","19c.edf","print",1000,127.93970595124
"558","19c.edf","print",1100,151.930129558856
"559","19c.edf","print",1200,165.365786631484
"560","19c.edf","print",1300,170.887085480581
"561","19c.edf","print",1400,173.001207069119
"562","19c.edf","print",1500,169.388512307613
"563","19c.edf","print",1600,161.3271142535
"564","19c.edf","print",1700,151.084754617398
"565","19c.edf","print",1800,120.901605167726
"566","19c.edf","print",1900,82.5898844008902
"567","19c.edf","print",2000,58.1032270402956
"568","19c.edf","print",2100,53.4290865614757
"569","19c.edf","print",2200,65.8669697527957
"570","19c.edf","print",2300,64.6871713043487
"571","19c.edf","print",2400,59.362486392911
"572","19c.edf","print",2500,56.1955506060584
"573","1a.edf","cursive",0,102.892518786503
"574","1a.edf","cursive",100,96.1458968190519
"575","1a.edf","cursive",200,82.7833491415923
"576","1a.edf","cursive",300,75.0340608952426
"577","1a.edf","cursive",400,45.5265507626453
"578","1a.edf","cursive",500,9.27705336832903
"579","1a.edf","cursive",600,-9.04683114610667
"580","1a.edf","cursive",700,-13.5747156605424
"581","1a.edf","cursive",800,-12.3924183567962
"582","1a.edf","cursive",900,-9.30665419019033
"583","1a.edf","cursive",1000,-3.31607477690715
"584","1a.edf","cursive",1100,8.46149722422539
"585","1a.edf","cursive",1200,14.2612088192307
"586","1a.edf","cursive",1300,23.6527971977164
"587","1a.edf","cursive",1400,43.3522468437509
"588","1a.edf","cursive",1500,58.4908936707097
"589","1a.edf","cursive",1600,77.9050970142416
"590","1a.edf","cursive",1700,103.910856564567
"591","1a.edf","cursive",1800,132.560963690775
"592","1a.edf","cursive",1900,159.060326145356
"593","1a.edf","cursive",2000,193.510292358888
"594","1a.edf","cursive",2100,207.507813347521
"595","1a.edf","cursive",2200,205.99649044323
"596","1a.edf","cursive",2300,186.597458064151
"597","1a.edf","cursive",2400,171.691515021723
"598","1a.edf","cursive",2500,179.194902241586
"599","1a.edf","print",0,80.0105410770652
"600","1a.edf","print",100,60.5068919788603
"601","1a.edf","print",200,52.6678313727997
"602","1a.edf","print",300,37.8875803439931
"603","1a.edf","print",400,15.1178841225191
"604","1a.edf","print",500,5.67092976115958
"605","1a.edf","print",600,-3.67923454398655
"606","1a.edf","print",700,-22.5085878280532
"607","1a.edf","print",800,-27.38402508896
"608","1a.edf","print",900,-19.2875246030952
"609","1a.edf","print",1000,-7.34609492834247
"610","1a.edf","print",1100,17.5161258868165
"611","1a.edf","print",1200,46.4842590107493
"612","1a.edf","print",1300,82.4278971013758
"613","1a.edf","print",1400,123.253603648627
"614","1a.edf","print",1500,159.912556838421
